-28286,-1e+08,-1.3595
-12026,-1e+08,-1.3314
-4805.2,-1e+08,-1.1874
-1896.1,-1e+08,-0.61827
6259.7,-1e+08,1.2506
18779,-1e+08,1.377
29740,-1e+08,1.4052
-28286,1.8e+06,-1.3595
-12026,1.8e+06,-1.3314
-4805.2,1.8e+06,-1.1874
-1896.1,1.8e+06,-0.61827
6259.7,1.8e+06,1.2506
18779,1.8e+06,1.377
29740,1.8e+06,1.4052
-29792,2.07e+07,-1.3595
-13636,2.07e+07,-1.3138
-6103.9,2.07e+07,-0.93091
-4129.9,2.07e+07,-0.29859
-233.77,2.07e+07,0.028103
3870.1,2.07e+07,0.56206
6207.8,2.07e+07,1.1136
14987,2.07e+07,1.363
29844,2.07e+07,1.3841
-25429,3.45e+07,-1.3595
-12494,3.45e+07,-1.2611
-8545.5,3.45e+07,-0.91335
-5896.1,3.45e+07,-0.27752
-441.56,3.45e+07,0.021077
5584.4,3.45e+07,0.42857
7298.7,3.45e+07,0.96253
12026,3.45e+07,1.2892
24909,3.45e+07,1.3946
-23714,4.83e+07,-1.3525
-13065,4.83e+07,-1.1909
-10312,4.83e+07,-0.74473
-6883.1,4.83e+07,-0.23185
-545.45,4.83e+07,0.021077
7506.5,4.83e+07,0.36534
9584.4,4.83e+07,0.8466
12545,4.83e+07,1.2365
24494,4.83e+07,1.37
-26935,6.21e+07,-1.356
-18675,6.21e+07,-1.2822
-13792,6.21e+07,-0.86417
-9584.4,6.21e+07,-0.29859
-233.77,6.21e+07,0.014052
6103.9,6.21e+07,0.21077
11247,6.21e+07,0.56206
13688,6.21e+07,1.0187
27091,6.21e+07,1.3735
-27714,7.59e+07,-1.3525
-19455,7.59e+07,-1.1803
-16442,7.59e+07,-0.76581
-9636.4,7.59e+07,-0.23888
-493.51,7.59e+07,0.017564
6987,7.59e+07,0.22834
12338,7.59e+07,0.49883
15247,7.59e+07,0.9555
27195,7.59e+07,1.37
1000000,7.59e+07,1.37
